"To","ES","fd","P_value","P_value_adjust"
"APOB",0.60500467,1.68260758746966,2.94191696641287e-05,0.000970706357314854
"APOC1",0.7282278,1.4060375423642,0.000282554129741292,0.00392578995413281
"APOC2",0.13612026,3.32121918636993,7.64691623859957e-09,1.63618517785235e-05
"APOC3",0.24523179,2.58381360209135,4.26601020013869e-07,0.000124795856199728
"APOE",0.35553458,2.39686272194633,3.21462751759841e-07,0.000121380553149789
"MTTP",0.45803884,3.3994883919263,8.89096449908501e-07,0.000158908948141935
"P4HB",0.6840868,1.74361648768205,5.08879789574595e-05,0.00131830976166853
"PRKACA",0.79701376,1.29146508566221,0.000756478349117939,0.00780680791477178
"SAR1B",0.52636725,2.06719789874078,1.72520705551042e-05,0.000753340414239551
